Nome do console,Fabricante,Ano de lançamento
PlayStation 2,Sony,2000
Nintendo DS,Nintendo,2004
Nintendo Switch,Nintendo,2017
Game Boy,Nintendo,1989
Game Boy Color,Nintendo,1998
PlayStation 4,Sony,2013
PlayStation,Sony,1994
Wii,Nintendo,2006
PlayStation 3,Sony,2006
Xbox 360,Microsoft,2005
Game Boy Advance,Nintendo,2001
PlayStation Portable,Sony,2004
Nintendo 3DS,Nintendo,2011
PlayStation 5,Sony,2020
Nintendo Entertainment System,Nintendo,1983
Xbox One,Microsoft,2013
Super Nintendo Entertainment System,Nintendo,1990
Mega Drive,Sega,1988
Nintendo 64,Nintendo,1996
Atari 2600,Atari,1977
Xbox Series X/S,Microsoft,2020
Xbox,Microsoft,2001
Nintendo GameCube,Nintendo,2001
Wii U,Nintendo,2012
Sega Game Gear,Sega,1990
PlayStation Vita,Sony,2011
Master System,Sega,1986
TurboGrafx-16,NEC/Hudson Soft,1987
Sega Saturn,Sega,1994
Dreamcast,Sega,1998
Super NES Classic Edition,Nintendo,2017
Sega Pico,Sega,1993
WonderSwan,Bandai,1999
Color TV-Game,Nintendo,1977
Intellivision,Mattel,1980
N-Gage,Nokia,2003
NES Classic Edition,Nintendo,2016
ColecoVision,Coleco,1982
Magnavox Odyssey²,Magnavox/Philips,1978
Atari Lynx,Atari,1989
Philips CD-i,Philips,1991
Coleco Telstar,Coleco,1976
Atari 5200,Atari,1982
